company,email,country,industry
AI Nigeria,info@ainigeria.ai,Nigeria,Tech/Software
Open Source Community Africa,info@oscafrica.org,Nigeria,Tech/Software
GDG Lagos,lagos@gdg.community,Nigeria,Tech/Software
GDG Abuja,abuja@gdg.community,Nigeria,Tech/Software
GDG Port Harcourt,ph@gdg.community,Nigeria,Tech/Software
Nigeria Tech Tribe,info@nigeriatechTribe.com,Nigeria,Tech/Software
Techies In Nigeria,hello@techiesinnigeria.com,Nigeria,Tech/Software
NaijaDevs,info@naijadevs.com,Nigeria,Tech/Software
Lagos Startup Week,info@lagosstartupweek.com,Nigeria,Tech/Software
Startup Lagos,info@startuplagos.com,Nigeria,Tech/Software
Startup Abuja,info@startupabuja.com,Nigeria,Tech/Software
Abuja Tech Village,info@abujatech.village,Nigeria,Tech/Software
Yaba Tech Hub,info@yabatechhub.com,Nigeria,Tech/Software
Impact Hub Lagos,lagos@impacthub.net,Nigeria,Tech/Software
CcHub Abuja,abuja@cchubnigeria.com,Nigeria,Tech/Software
Kano Tech Hub,info@kanotechhub.com,Nigeria,Tech/Software
Enugu Tech Hub,info@enugutechhub.com,Nigeria,Tech/Software
Owerri Tech Hub,info@owerritechhub.com,Nigeria,Tech/Software
Benin Tech Hub,info@benintechhub.com,Nigeria,Tech/Software
Ibadan Tech Hub,info@ibadantechhub.com,Nigeria,Tech/Software
Calabar Tech Hub,info@calabartechhub.com,Nigeria,Tech/Software
Jumia Nigeria,careers.ng@jumia.com,Nigeria,E-commerce/Logistics
Konga,hr@konga.com,Nigeria,E-commerce/Logistics
Jiji Nigeria,support@jiji.ng,Nigeria,E-commerce/Logistics
Alerzo,hello@alerzo.com,Nigeria,E-commerce/Logistics
TradeDepot,hello@tradedepot.co,Nigeria,E-commerce/Logistics
Sabi,hello@sabi.am,Nigeria,E-commerce/Logistics
Omnibiz Africa,hello@omnibizafrica.com,Nigeria,E-commerce/Logistics
Betastore,hello@betastore.africa,Nigeria,E-commerce/Logistics
Vendease,hello@vendease.com,Nigeria,E-commerce/Logistics
Chowdeck,hello@chowdeck.com,Nigeria,E-commerce/Logistics
Glovo Nigeria,info.ng@glovoapp.com,Nigeria,E-commerce/Logistics
Bolt Food Nigeria,info.ng@bolt.eu,Nigeria,E-commerce/Logistics
Jumia Food,food.ng@jumia.com,Nigeria,E-commerce/Logistics
Kwik Delivery,hello@kwik.delivery,Nigeria,E-commerce/Logistics
Sendbox,hello@sendbox.co,Nigeria,E-commerce/Logistics
GIG Logistics,info@giglogistics.com,Nigeria,E-commerce/Logistics
Kobo360,hello@kobo360.com,Nigeria,E-commerce/Logistics
Lori Systems,hello@lorisystems.com,Nigeria,E-commerce/Logistics
Supermart,hello@supermart.ng,Nigeria,E-commerce/Logistics
DealDey,hello@dealdey.com,Nigeria,E-commerce/Logistics
Pricepally,hello@pricepally.com,Nigeria,E-commerce/Logistics
Foodlocker,hello@foodlocker.africa,Nigeria,E-commerce/Logistics
Printspace,info@printspace.ng,Nigeria,E-commerce/Logistics
Eden Life,hello@myedenlife.com,Nigeria,E-commerce/Logistics
Mano,hello@mano.africa,Nigeria,E-commerce/Logistics
Errand Africa,hello@errand.africa,Nigeria,E-commerce/Logistics
Gokada,hello@gokada.ng,Nigeria,E-commerce/Logistics
Max Delivery,delivery@max.ng,Nigeria,E-commerce/Logistics
Gricd,info@gricd.com,Nigeria,E-commerce/Logistics
Cold Chain,info@coldchain.ng,Nigeria,E-commerce/Logistics
Qosic,info@qosic.com,Nigeria,E-commerce/Logistics
Dellyman,info@dellyman.com,Nigeria,E-commerce/Logistics
Renda,hello@renda.africa,Nigeria,E-commerce/Logistics
Flexpay,hello@flexpay.ng,Nigeria,E-commerce/Logistics
Trendyol Nigeria,info.ng@trendyol.com,Nigeria,E-commerce/Logistics
Kara Nigeria,info@kara.com.ng,Nigeria,E-commerce/Logistics
Slot Nigeria,info@slot.ng,Nigeria,E-commerce/Logistics
Pointek,info@pointekng.com,Nigeria,E-commerce/Logistics
3CHub,info@3chub.com,Nigeria,E-commerce/Logistics
Fouani Nigeria,info@fouani.com,Nigeria,E-commerce/Logistics
Ecostore,info@ecostoreng.com,Nigeria,E-commerce/Logistics
Bonga,hello@bonga.ng,Nigeria,E-commerce/Logistics
Obiwezy,info@obiwezy.com,Nigeria,E-commerce/Logistics
Autopowerng,info@autopowerng.com,Nigeria,E-commerce/Logistics
Cars45 Nigeria,hello.ng@cars45.com,Nigeria,E-commerce/Logistics
Autochek Nigeria,hello.ng@autochek.africa,Nigeria,E-commerce/Logistics
Cheki Nigeria,info@cheki.com.ng,Nigeria,E-commerce/Logistics
Carhouse Nigeria,info@carhouse.ng,Nigeria,E-commerce/Logistics
Motorhq,info@motorhq.com,Nigeria,E-commerce/Logistics
Carmart,info@carmart.ng,Nigeria,E-commerce/Logistics
Helium Health,hello@heliumhealth.com,Nigeria,Healthtech
54gene,info@54gene.com,Nigeria,Healthtech
Kangpe,hello@kangpe.com,Nigeria,Healthtech
LifeBank,hello@lifebank.ng,Nigeria,Healthtech
Remedial Health,hello@remedialhealth.com,Nigeria,Healthtech
DrugStoc,info@drugstoc.com,Nigeria,Healthtech
eHealth Africa,info@ehealthafrica.org,Nigeria,Healthtech
Wella Health,hello@wellahealth.com,Nigeria,Healthtech
Healthtracka,hello@healthtracka.com,Nigeria,Healthtech
Clinify Health,hello@clinify.ng,Nigeria,Healthtech
Famasi Africa,hello@famasi.africa,Nigeria,Healthtech
CribMD,hello@cribmd.com,Nigeria,Healthtech
mDoc Healthcare,hello@mymdoc.com,Nigeria,Healthtech
Nira Medical,info@niramedical.com,Nigeria,Healthtech
Carefree Health,hello@carefree.health,Nigeria,Healthtech
Reliance HMO,hello@reliancehmo.com,Nigeria,Healthtech
HMO Care,info@hmocare.ng,Nigeria,Healthtech
Avon HMO,info@avonhmo.com,Nigeria,Healthtech
Hygeia HMO,info@hygeiahmo.com,Nigeria,Healthtech
Aiico HMO,info@aiicohmo.com,Nigeria,Healthtech
Clearline HMO,info@clearlinehmo.com,Nigeria,Healthtech
Fountain HMO,info@fountainhealthcare.net,Nigeria,Healthtech
Total Health Trust,info@totalhealthtrust.com,Nigeria,Healthtech
AXA HMO,info@axamansard.com,Nigeria,Healthtech
Leadway Health,info@leadwayhealth.com,Nigeria,Healthtech
Bastion Health,hello@bastionhealth.africa,Nigeria,Healthtech
Curacel,hello@curacel.co,Nigeria,Healthtech
Medsaf,hello@medsaf.com,Nigeria,Healthtech
Kudimata,hello@kudimata.com,Nigeria,Healthtech
Medicaid Radio,info@medicaidradio.com,Nigeria,Healthtech
Geek Health,info@geekhealth.ng,Nigeria,Healthtech
HospitalRunners,info@hospitalrunners.com,Nigeria,Healthtech
My Health Nigeria,info@myhealthnigeria.com,Nigeria,Healthtech
Derbymed,info@derbymed.com,Nigeria,Healthtech
Speakhealth,hello@speakhealth.ng,Nigeria,Healthtech
Doctored,hello@doctored.ng,Nigeria,Healthtech
Venia Health,hello@veniahealth.ng,Nigeria,Healthtech
Mobihealth,info@mobihealth.ng,Nigeria,Healthtech
Medicare Health,info@medicareafrica.ng,Nigeria,Healthtech
AltSchool Africa,hello@altschoolafrica.com,Nigeria,EdTech
Decagon,hello@decagonhq.com,Nigeria,EdTech
Stutern,hello@stutern.com,Nigeria,EdTech
Semicolon,hello@semicolon.africa,Nigeria,EdTech
Utiva,hello@utiva.io,Nigeria,EdTech
Side Hustle,hello@sidehustle.ng,Nigeria,EdTech
Edves,info@edves.net,Nigeria,EdTech
uLesson,hello@ulesson.com,Nigeria,EdTech
Gradely,hello@gradely.co,Nigeria,EdTech
Schoolable,info@schoolable.ng,Nigeria,EdTech
Ingressive for Good,hello@ingressive.com,Nigeria,EdTech
She Code Africa,hello@shecodeafrica.org,Nigeria,EdTech
Coderina,info@coderina.org,Nigeria,EdTech
Tenece Professional,info@tenece.com,Nigeria,EdTech
HiiT Plc,info@hiit.com.ng,Nigeria,EdTech
Jobberman,hello@jobberman.com,Nigeria,EdTech
MyJobMag,hello@myjobmag.com,Nigeria,EdTech
Ngcareers,info@ngcareers.com,Nigeria,EdTech
TalentQL,hello@talentql.com,Nigeria,EdTech
Workforce Group,info@workforcegroup.com,Nigeria,EdTech
Edufun,info@edufuntech.com,Nigeria,EdTech
PrepClass,info@prepclass.ng,Nigeria,EdTech
Tuteria,hello@tuteria.com,Nigeria,EdTech
ScholarX,info@scholarxapp.com,Nigeria,EdTech
Learnly App,hello@learnlyapp.com,Nigeria,EdTech
Clasam,info@clasam.com,Nigeria,EdTech
Ilmiya,info@ilmiya.ng,Nigeria,EdTech
Brainspace,hello@brainspace.ng,Nigeria,EdTech
Pearson Nigeria,info.ng@pearson.com,Nigeria,EdTech
Edubridge,info@edubridgeng.com,Nigeria,EdTech
Cowbell Education,info@cowbell.ng,Nigeria,EdTech
Edutech Nigeria,info@edutechng.com,Nigeria,EdTech
Techspark,info@techspark.ng,Nigeria,EdTech
GoMyCode Nigeria,info.ng@gomycode.com,Nigeria,EdTech
Codewaves,info@codewave.ng,Nigeria,EdTech
TechKids,info@techkidsng.com,Nigeria,EdTech
Codetrain Nigeria,info.ng@codetrain.africa,Nigeria,EdTech
DevCareer,hello@devcareer.io,Nigeria,EdTech
HNG Internship,hello@hng.tech,Nigeria,EdTech
Zuri Team,hello@thezuri.com,Nigeria,EdTech
I4G,info@ingressive4good.org,Nigeria,EdTech
Forloop Africa,info@forloop.africa,Nigeria,EdTech
PiggyTech Academy,academy@piggyvest.com,Nigeria,EdTech
Cowry Academy,academy@cowrywise.com,Nigeria,EdTech
Flutterwave Academy,academy@flutterwave.com,Nigeria,EdTech
Paystack Academy,academy@paystack.com,Nigeria,EdTech
Google Career Certificates NG,certng@google.com,Nigeria,EdTech
Microsoft Learn NG,learn.ng@microsoft.com,Nigeria,EdTech
AWS Training Nigeria,training.ng@amazon.com,Nigeria,EdTech
Meta Blueprint NG,blueprint.ng@meta.com,Nigeria,EdTech
Coursera Nigeria,nigeria@coursera.org,Nigeria,EdTech
Udemy Nigeria,nigeria@udemy.com,Nigeria,EdTech
Farmcrowdy,hello@farmcrowdy.com,Nigeria,Agritech
Thrive Agric,hello@thriveagric.com,Nigeria,Agritech
Releaf,hello@releaf.africa,Nigeria,Agritech
AgroMall,info@agromall.com,Nigeria,Agritech
Verdant Agritech,info@verdant-agritech.com,Nigeria,Agritech
Zowasel,info@zowasel.com,Nigeria,Agritech
Pricepally Agri,agri@pricepally.com,Nigeria,Agritech
Tule Farm,info@tulefarm.com,Nigeria,Agritech
Agrikore,info@agrikore.com,Nigeria,Agritech
Crop2Cash,info@crop2cash.com.ng,Nigeria,Agritech
Hello Tractor,hello@hellotractor.com,Nigeria,Agritech
Kitovu,hello@kitovu.com.ng,Nigeria,Agritech
Zenvus,info@zenvus.com,Nigeria,Agritech
ColdHubs,info@coldhubs.com,Nigeria,Agritech
WeFarm Nigeria,nigeria@wefarm.org,Nigeria,Agritech
OneAcre Fund Nigeria,nigeria@oneacrefund.org,Nigeria,Agritech
Babban Gona,info@babbangona.com,Nigeria,Agritech
Tomato Jos,info@tomatojos.com,Nigeria,Agritech
Farmgate Africa,info@farmgate.africa,Nigeria,Agritech
Agroaid,info@agroaid.ng,Nigeria,Agritech
Farmforte,info@farmforte.ng,Nigeria,Agritech
Livestocked,info@livestocked.com,Nigeria,Agritech
Digifarm Nigeria,nigeria@digifarm.com,Nigeria,Agritech
Agro4africa,info@agro4africa.com,Nigeria,Agritech
EZ Farming,info@ezfarming.com.ng,Nigeria,Agritech
Green Earth Farms,info@greenearthfarms.ng,Nigeria,Agritech
Paddock to Plate,info@paddocktoplate.ng,Nigeria,Agritech
Smartfarm NG,info@smartfarm.ng,Nigeria,Agritech
AgriPredict,info@agripredict.com,Nigeria,Agritech
FarmAble,info@farmable.ng,Nigeria,Agritech
Casava,hello@casava.co,Nigeria,Insurtech/Proptech
Tangerine Insurance,info@tangerine.life,Nigeria,Insurtech/Proptech
Octamile,info@octamile.com,Nigeria,Insurtech/Proptech
Bima Africa Nigeria,nigeria@bima.africa,Nigeria,Insurtech/Proptech
Leadway Digital,digital@leadway.com,Nigeria,Insurtech/Proptech
AXA Mansard Digital,digital@axamansard.com,Nigeria,Insurtech/Proptech
AIICO Digital,digital@aiicoplc.com,Nigeria,Insurtech/Proptech
Custodian Investment,info@custodian-plc.com,Nigeria,Insurtech/Proptech
NEM Insurance Digital,digital@neminsurance.net,Nigeria,Insurtech/Proptech
Linkage Assurance,info@linkageassurance.com,Nigeria,Insurtech/Proptech
Staco Insurance,info@staco-insurance.com,Nigeria,Insurtech/Proptech
Niger Insurance,info@nigerinsurance.com,Nigeria,Insurtech/Proptech
Wapic Insurance,info@wapic.com,Nigeria,Insurtech/Proptech
Coronation Insurance,info@coronationinsurance.com,Nigeria,Insurtech/Proptech
ARM Life,info@armlife.com.ng,Nigeria,Insurtech/Proptech
Mutual Benefits,info@mutualbenefitsassurance.com,Nigeria,Insurtech/Proptech
FBN Insurance,info@fbninsurance.com,Nigeria,Insurtech/Proptech
Zenith Insurance,info@zenithinsurance.com.ng,Nigeria,Insurtech/Proptech
Access Insurance,info@accessinsurance.com.ng,Nigeria,Insurtech/Proptech
Spleet,hello@spleet.africa,Nigeria,Insurtech/Proptech
Rentsmallsmall,hello@rentsmallsmall.com,Nigeria,Insurtech/Proptech
Coreum,hello@coreum.africa,Nigeria,Insurtech/Proptech
PropertyPro,hello@propertypro.ng,Nigeria,Insurtech/Proptech
Realforce,hello@realforce.africa,Nigeria,Insurtech/Proptech
Landmaster,info@landmaster.ng,Nigeria,Insurtech/Proptech
Buylet,info@buylet.ng,Nigeria,Insurtech/Proptech
Hutbay,info@hutbay.com,Nigeria,Insurtech/Proptech
Tolet,info@tolet.com.ng,Nigeria,Insurtech/Proptech
Finelib,info@finelib.com,Nigeria,Insurtech/Proptech
Private Property Nigeria,info.ng@privateproperty.com,Nigeria,Insurtech/Proptech
Jamesons Estate,info@jamesonsestate.ng,Nigeria,Insurtech/Proptech
Veritasi Homes,info@veritasihomes.com,Nigeria,Insurtech/Proptech
RevolutionPlus,info@revolutionplus.org,Nigeria,Insurtech/Proptech
NovaRick Homes,info@novarick.com,Nigeria,Insurtech/Proptech
Structura,info@structura.ng,Nigeria,Insurtech/Proptech
Landwey Investment,info@landwey.net,Nigeria,Insurtech/Proptech
Adron Homes,info@adronhomesproperties.com,Nigeria,Insurtech/Proptech
Octo5 Holdings,info@octo5.com,Nigeria,Insurtech/Proptech
Alpha Mead,info@alphameadgroup.com,Nigeria,Insurtech/Proptech
Techpoint Africa,info@techpoint.africa,Nigeria,Media/Creative Tech
TechCabal,info@techcabal.com,Nigeria,Media/Creative Tech
Nairametrics,info@nairametrics.com,Nigeria,Media/Creative Tech
BusinessDay Digital,digital@businessday.ng,Nigeria,Media/Creative Tech
The Cable,info@thecable.ng,Nigeria,Media/Creative Tech
Pulse Nigeria,info@pulse.ng,Nigeria,Media/Creative Tech
BellaNaija,info@bellanaija.com,Nigeria,Media/Creative Tech
LindaIkeji Tech,info@lindaikejisblog.com,Nigeria,Media/Creative Tech
Zikoko,hello@zikoko.com,Nigeria,Media/Creative Tech
Guardian Nigeria Digital,digital@guardian.ng,Nigeria,Media/Creative Tech
Vanguard Digital,digital@vanguardngr.com,Nigeria,Media/Creative Tech
Channels Digital,digital@channelstv.com,Nigeria,Media/Creative Tech
TVC News Digital,digital@tvcnews.tv,Nigeria,Media/Creative Tech
AIT Digital,digital@ait.live,Nigeria,Media/Creative Tech
Showmax Nigeria,info.ng@showmax.com,Nigeria,Media/Creative Tech
Netflix Nigeria,info.ng@netflix.com,Nigeria,Media/Creative Tech
Amazon Prime Nigeria,info.ng@amazon.com,Nigeria,Media/Creative Tech
Boomplay,info@boomplaymusic.com,Nigeria,Media/Creative Tech
Audiomack Nigeria,info.ng@audiomack.com,Nigeria,Media/Creative Tech
TurnTable Charts,info@turntablecharts.com,Nigeria,Media/Creative Tech
NotJustOk,info@notjustok.com,Nigeria,Media/Creative Tech
OkayAfrica Nigeria,info.ng@okayafrica.com,Nigeria,Media/Creative Tech
YNaija,info@ynaija.com,Nigeria,Media/Creative Tech
Konga Entertainment,entertainment@konga.com,Nigeria,Media/Creative Tech
iROKOtv,info@irokotv.com,Nigeria,Media/Creative Tech
Iroko Partners,info@irokopartners.com,Nigeria,Media/Creative Tech
Nollywood Factory,info@nollywoodfactory.com,Nigeria,Media/Creative Tech
EbonyLife Digital,digital@ebonylifetv.com,Nigeria,Media/Creative Tech
Ndani TV,info@ndanitv.com,Nigeria,Media/Creative Tech
Native Mag,info@thenativemag.com,Nigeria,Media/Creative Tech
Geek Culture NG,info@geekculture.ng,Nigeria,Media/Creative Tech
Glitch Africa,info@glitchafrica.com,Nigeria,Media/Creative Tech
MAX.ng,hello@max.ng,Nigeria,Mobility/Energy
Shuttlers,hello@shuttlers.ng,Nigeria,Mobility/Energy
Moove Africa,hello@moove.africa,Nigeria,Mobility/Energy
Roam Electric,hello@roamelectric.com,Nigeria,Mobility/Energy
